"","x"
"ldist",-21931.7574844434
"legal",8434.47180919345
"border",-21.4302919899194
"language",5515.96902744705
"colony",24405.7924715238
"currency",21897.0927028308
"fta",8531.20621633127
"religion",-291.039589361307
"factor(id)1",108269.061478541
"factor(id)2",110810.080965175
"factor(id)3",92008.3273395657
"factor(id)4",103475.639533851
"factor(id)5",-17720.7835220949
"factor(id)6",69431.682387714
"factor(id)7",94348.220517343
"factor(id)8",107417.402043809
"factor(id)9",87448.5475827397
"factor(id)10",44739.705021274
"factor(id)11",41902.076339661
"factor(id)12",61468.2855541987
"factor(id)13",74453.4409068759
"factor(id)14",46792.5169885299
"factor(id)15",44985.2433495292
"factor(id)16",77800.8250281736
"factor(id)17",58006.2209940183
"factor(id)18",32471.0403644473
"factor(id)19",82816.1519218491
"factor(id)20",68665.8321747331
"factor(id)21",50544.2720241166
"factor(id)22",66565.8971004451
"factor(id)23",56052.8502840186
"factor(id)24",76079.0219547499
"factor(id)25",94151.0028876445
"factor(id)26",79133.7019411839
"factor(id)27",71260.9196349532
"factor(id)28",61471.0091850364
"factor(id)29",48794.5087721168
"factor(id)30",49873.4557401751
"factor(id)31",70983.047558295
"factor(id)32",64136.6092435429
"factor(id)33",48068.2878652626
"factor(id)34",106051.463383583
"factor(id)35",53071.6401026584
"factor(id)36",77651.766193377
"factor(id)37",47036.7219264797
"factor(id)38",80268.1984086698
"factor(id)39",57847.5280777274
"factor(id)40",57581.9184632921
"factor(id)41",52832.7868640448
"factor(id)42",84836.3347201394
"factor(id)43",74259.6985185947
"factor(id)44",53126.0901954465
"factor(id)45",70710.9722405982
"factor(id)46",51625.8510260002
"factor(id)47",65420.7537074252
"factor(id)48",167680.108333387
"factor(id)49",217988.536118575
"factor(id)50",68827.8418507954
"factor(id)51",58499.1156830299
"factor(id)52",109400.860454262
"factor(id)53",81801.7957119086
"factor(id)54",136510.066006198
"factor(id)55",111114.171634826
"factor(id)56",107403.862790448
"factor(id)57",96252.4076675245
"factor(id)58",121531.381156333
"factor(id)59",75794.6729815873
"factor(id)60",103703.430575073
"factor(id)61",92732.1251409926
"factor(id)62",108226.954416821
"factor(id)63",81911.900667134
"factor(id)64",76216.6197907247
"factor(id)65",84819.9892893618
"factor(id)66",80055.4919017429
"factor(id)67",71718.1266257054
"factor(id)68",97769.7240270165
"factor(id)69",76609.6271746616
"factor(id)70",47712.1077367086
"factor(id)71",89171.2219633592
"factor(id)72",78353.7280259165
"factor(id)73",87615.2625730967
"factor(id)74",71562.6968028746
"factor(id)75",85963.1545055224
"factor(id)76",76878.4011094684
"factor(id)77",82383.5175324884
"factor(id)78",86378.6371642483
"factor(id)79",28450.9259567191
"factor(id)80",62274.1097703662
"factor(id)81",70721.4717524752
"factor(id)82",59820.8835797242
"factor(id)83",101256.190189071
"factor(id)84",63841.0288436567
"factor(id)85",100266.545706867
"factor(id)86",203032.106410321
"factor(id)87",84690.1679419658
"factor(id)88",88171.1370752699
"factor(id)89",101936.980476818
"factor(id)90",96029.0670304631
"factor(id)91",100094.710978936
"factor(id)92",91588.5929301662
"factor(id)93",75687.7433820095
"factor(id)94",88428.2135088411
"factor(id)95",66805.4519028492
"factor(id)96",131695.203030209
"factor(id)97",93680.5010768134
"factor(id)98",111153.102250853
"factor(id)99",122492.646767859
"factor(id)100",76149.1928949298
"factor(id)101",57867.3739681872
"factor(id)102",98614.640359691
"factor(id)103",22035.6313887433
"factor(id)104",59772.7185392306
"factor(id)105",61651.6604188954
"factor(id)106",32282.1122901524
"factor(id)107",100035.586523052
"factor(id)108",142606.285138546
"factor(id)109",146150.93110826
"factor(id)110",127938.74169691
"factor(id)111",156936.255768124
"factor(id)112",38671.5201195378
"factor(id)113",125499.840699545
"factor(id)114",42092.1711755975
"factor(id)115",55519.1213216475
"factor(id)116",124737.189996772
"factor(id)117",116962.500680636
"factor(id)118",148881.80462311
"factor(id)119",129345.332996457
"factor(id)120",148901.459495952
"factor(id)121",146083.871010681
"factor(id)122",80766.1250409662
"factor(id)123",45607.1613907549
"factor(id)124",57754.8510197566
"factor(id)125",162390.471377622
"factor(id)126",141835.176046068
"factor(id)127",184496.758306238
"factor(id)128",198283.885124719
"factor(id)129",124750.789461369
"factor(id)130",118181.308538052
"factor(id)131",181693.57920746
"factor(id)132",172902.234478941
"factor(id)133",130324.557923895
"factor(id)134",159008.392290188
"factor(id)135",182021.427745345
"factor(id)136",142691.978711744
"factor(id)137",135288.878242597
"factor(id)138",91452.8723930966
"factor(id)139",134270.108755632
"factor(id)140",152227.896194591
"factor(id)141",149893.353254247
"factor(id)142",74266.5755363724
"factor(id)143",40814.8001630269
"factor(id)144",95368.0154147634
"factor(id)145",117497.322589731
"factor(id)146",116350.089143639
"factor(id)147",116424.772151323
"factor(id)148",96946.9280312461
"factor(id)149",128795.223663711
"factor(id)150",145740.185835479
"factor(id)151",154752.420272604
"factor(id)152",130020.595263858
"factor(id)153",53635.1756352485
"factor(id)154",85067.073009088
"factor(id)155",49722.1072028992
"factor(id)156",84743.0118177255
"factor(id)157",83849.0545205633
"factor(jd)2",-31054.3017637598
"factor(jd)3",-35478.8705927614
"factor(jd)4",-15478.3524532518
"factor(jd)5",-135940.374080337
"factor(jd)6",-52122.1101900414
"factor(jd)7",-30437.0317526798
"factor(jd)8",-28775.4597480549
"factor(jd)9",-44599.6333861373
"factor(jd)10",-75003.3438981416
"factor(jd)11",-86469.129226683
"factor(jd)12",-47223.5909277556
"factor(jd)13",-51515.7747626509
"factor(jd)14",-71301.7635030591
"factor(jd)15",-79359.7814344948
"factor(jd)16",-41173.9874683353
"factor(jd)17",-74123.5536432848
"factor(jd)18",-91340.4121695893
"factor(jd)19",-61843.2450436932
"factor(jd)20",-61644.7337666468
"factor(jd)21",-82315.4330173711
"factor(jd)22",-50349.7387217531
"factor(jd)23",-62661.4430793183
"factor(jd)24",-31426.3498777511
"factor(jd)25",-22746.0829551176
"factor(jd)26",-52256.3535576821
"factor(jd)27",-49938.1098551445
"factor(jd)28",-46572.0682583838
"factor(jd)29",-74164.9396312271
"factor(jd)30",-66398.3006193564
"factor(jd)31",-50046.1249107698
"factor(jd)32",-52343.6762079216
"factor(jd)33",-79271.246782431
"factor(jd)34",-25010.8611936916
"factor(jd)35",-81629.655803028
"factor(jd)36",-73231.9164451253
"factor(jd)37",-77165.064939768
"factor(jd)38",-44230.1551319441
"factor(jd)39",-81891.0795378133
"factor(jd)40",-67458.1936712377
"factor(jd)41",-80263.5985552675
"factor(jd)42",-18015.6111285848
"factor(jd)43",-57399.8524619782
"factor(jd)44",-64048.6239247659
"factor(jd)45",-48487.4963966097
"factor(jd)46",-82888.7718924417
"factor(jd)47",-47633.6453439129
"factor(jd)48",54824.5929441349
"factor(jd)49",104107.673334706
"factor(jd)50",-53882.4921491983
"factor(jd)51",-93501.9129052894
"factor(jd)52",20039.2483681669
"factor(jd)53",-57140.0754459379
"factor(jd)54",47296.7753024896
"factor(jd)55",3690.70557104221
"factor(jd)56",-6007.64581712052
"factor(jd)57",-34722.6214119055
"factor(jd)58",9449.11370476225
"factor(jd)59",-50595.0271389231
"factor(jd)60",-16580.4126726568
"factor(jd)61",-21987.1857554992
"factor(jd)62",-14617.7030637895
